ZCR_Promedio,MFCC_1_Promedio,Energia_Promedio,MFCC_4_Promedio,MFCC_5_Promedio,Clase
0.21435546875,-498.48864986463735,75.95099072095707,-20.18926573479116,42.589155255753845,berenjena
0.1923828125,-489.0897500219944,140.8059036845197,-54.45451088086321,65.10580348731088,berenjena
0.22021484375,-456.64072361429004,105.83444053768842,-45.31492942343944,52.98532249556489,berenjena
0.393798828125,-468.3325221106595,100.14144083613476,-33.10359296673656,80.23216724208031,berenjena
0.403076171875,-462.0276590231905,197.70514808909024,-35.67527350177125,80.88161244018714,berenjena
0.233642578125,-614.7466246471438,98.46623616342586,-35.55911244681718,20.046346979204742,camote
0.11669921875,-578.5770876170488,31.53319618812535,-32.12225628066776,27.66390702284783,camote
0.197998046875,-561.223888734477,97.32709154972927,-64.71445538458852,36.492063817684794,camote
0.248046875,-582.8814757104961,240.88430677420405,-73.60485582757786,33.51437194627301,camote
0.166748046875,-571.8164352532641,67.11072430580808,-45.30536650140719,52.283923179158094,camote
0.292236328125,-568.3389343123388,63.6782794621662,-22.806217912032352,69.72141191851898,camote
0.210205078125,-549.2426865060677,377.0218771863272,-55.241421793495135,46.78320492521988,camote
0.1884765625,-600.5089510024159,35.23051229827278,-50.931811406337154,11.251902068710299,camote
0.295654296875,-614.4954925347631,83.25457558777781,-49.09541810868601,16.392023124950192,camote
0.4140625,-533.1503055913482,244.69718134073588,-33.54743576335146,53.02521078767861,camote
0.116943359375,-455.1167563021077,50.771406586079735,-52.69985401355755,14.129463931236836,papa
0.100341796875,-463.4528078909558,85.1078551049788,-58.98511944101186,14.574665556405389,papa
0.11376953125,-433.1553958890281,69.71370611410357,-10.07011492299084,34.09628975657749,papa
0.22314453125,-413.2116956369878,121.45779108421873,-14.699269476594967,45.48177522456108,papa
0.11767578125,-472.8112323867969,82.53205702809366,-31.308293270424738,21.703855509670408,papa
0.0673828125,-421.19128495262595,154.46827258175114,-37.99044793395201,20.275761334503386,papa
0.90380859375,-550.2525441920105,492.8404430900126,65.36266197429104,35.55431690082675,zanahoria
1.2353515625,-530.2621988345658,430.67940403488166,91.97518735559463,56.607670405391914,zanahoria
1.117919921875,-562.8454328973911,401.27358696750883,85.68023723136739,60.38496598023702,zanahoria
1.0732421875,-478.92621650543964,641.3895931932843,51.38341675824294,34.903906686588584,zanahoria
1.179443359375,-625.2160907484358,250.75169519481273,56.66893709872422,30.99181000687247,zanahoria
