Vegetable,color_R,color_G,color_B,aspect_ratio,roundness,hu_moment_1,hu_moment_2,hu_moment_3,hu_moment_4,hu_moment_5,hu_moment_6,hu_moment_7
berenjena,55.285714285714285,52.142857142857146,74.28571428571429,1.26568894350253,0.5449073842494975,0.22569165452948753,0.024968835627123237,0.0004747114769894832,0.00010192368858435554,6.28731950585107e-08,1.4934245304037016e-05,5.656517958893686e-10
camote,58.166666666666664,64.83333333333333,133.16666666666666,1.0389660501805051,0.4302630242227296,0.5152174687246477,0.6121371218627801,0.05098359122724153,0.0415461080447193,0.011259278960287375,0.07429805979032052,-0.00043478218100907176
papa,56.666666666666664,144.66666666666666,202.16666666666666,1.267721241791909,0.743384526303903,0.19332589494587646,0.011182117221995176,0.00021937214739359964,1.4376776142641243e-05,-1.4589740651748013e-10,-7.520899168803898e-07,2.3262259747050427e-10
zanahoria,56.5,111.83333333333333,197.33333333333334,1.8835924116053457,0.3250044350672143,0.3799509930059677,0.12103128142708829,0.005376209423518001,0.003533478851860245,1.856682632411069e-05,0.0013098952386605125,2.197626529114687e-07
