,Segmento_1,Segmento_2,Segmento_3,Segmento_4,Segmento_5,Segmento_6,Segmento_7,Segmento_8
berenjena_60,-47.292703881434434,-41.8038367485942,-38.05803738340485,-0.07862614993489767,19.70513111603818,-25.98612809176763,-37.47281899189449,-34.29817165677202
berenjena_80,-20.18926573479116,-23.932661614636046,-47.13868249057554,-23.76064098690745,-25.79660263837894,-36.68737719072515,-37.00517336570625,-48.6483522311884
berenjena_81,-54.45451088086321,-69.52193850680368,-72.76305052283968,-54.4023449764789,-33.931989616902946,-64.47482260181445,-54.49946471491997,-91.7532857749712
berenjena_85,-45.31492942343944,-66.39345720626238,-60.78364019843301,-68.13075070240005,-44.542406610968975,-66.9134556567908,-57.92278687525186,-32.17115250940773
berenjena_86,-33.10359296673656,-37.00971050487808,-32.714002607277855,-22.44156587270463,-14.909724708267317,-39.27129587585251,-35.339821342289206,-20.595030409848377
camote_80,-64.71445538458852,-58.51865146018078,-56.72120405874696,-42.66770094181287,-6.64518601068112,-8.422644344542896,-2.9887578108499397,1.8841253637907969
camote_81,-73.60485582757786,-81.71196815012496,-81.49081652750355,-62.79932119141241,-57.1585775681085,-41.97184620267756,-16.988090128634934,-8.431889526293766
camote_85,-45.30536650140719,-54.544184056637214,-58.54498988712898,-63.455702356913505,-46.66546875523793,-40.33446563897942,-24.816696985097167,-28.981171110195323
camote_86,-22.806217912032352,-16.913814714738887,-18.65847613308062,0.6920204571341733,9.075945368687902,2.6225311502542343,-22.35673781131321,-32.235480087076965
papa_80,-52.69985401355755,-69.74278229817584,-66.96923952160925,-40.02511327099534,-41.99456594998359,-51.70903432965759,-59.0013874482274,-55.57147400516427
papa_81,-58.98511944101186,-77.07644529543367,-71.0292167373686,-65.55373920173814,-59.82678155622892,-51.161565653729895,-29.913352767266737,-42.06595115179409
papa_85,-10.07011492299084,-22.186960452388,-30.595568789116832,-22.379395427879953,-6.979132698186438,-8.508139808021205,-16.24814209255355,-18.687335767530282
papa_86,-14.699269476594967,-21.861783415378657,-23.57104550550604,-14.506728313162968,-8.458775660519622,-18.86175582490163,-30.18626391076288,-26.463199637549657
zanahoria_80,65.36266197429104,-27.17424479650588,-34.733179297049446,-25.589836760347186,0.6309324439105072,-2.0534668719664433,-51.02869655354906,-51.56849295407218
zanahoria_82,91.97518735559463,-27.847846714991423,-46.281212327303706,-43.91432700977063,-6.051866034733456,-5.363126837497886,-27.626194668773948,-4.890490669612518
zanahoria_83,85.68023723136739,-69.9230287806047,-78.94377508915025,-75.07810851724768,-58.127704284778396,-73.07483560539146,-67.22390664927173,-50.75560803080021
zanahoria_85,-2.6689700088957524,-66.8834799229384,-61.73380990022811,-69.20859282851785,-56.221263980137905,-39.44292165912871,-50.11079583252891,-34.47674791642283
zanahoria_86,51.38341675824294,-9.90579014041237,-31.479438802509645,-31.19953161642455,-12.444097042003389,-16.788559060971835,-43.47264201536254,-47.62465658807627
