,Segmento_1,Segmento_2,Segmento_3,Segmento_4,Segmento_5,Segmento_6,Segmento_7,Segmento_8
berenjena_60,23.955956047715617,32.131894446125195,34.80304780260696,39.64568974355245,-0.024777569733389272,37.369666172040596,5.7682740682701565,-3.27407286198654
berenjena_80,45.08527447058131,49.71965204515338,48.99106465047992,42.589155255753845,53.20196120401427,66.27577824194705,43.701487108203025,26.709686498066592
berenjena_81,28.922149737628565,45.37831512932506,50.97944540734089,65.10580348731088,65.09946290474633,65.5677803824791,45.62880081819039,54.23592384612821
berenjena_85,43.58526745142951,49.12510103496935,50.36719224700644,52.98532249556489,66.21233527171476,60.59930952401895,53.12610781358248,59.81197883106899
berenjena_86,74.24996849982305,70.96244829259678,75.27438042225562,80.23216724208031,65.07120124218689,59.687139560491204,42.9146727312729,22.90082532165852
camote_80,31.691618320499373,35.708238042324076,34.58197809961432,36.492063817684794,52.72443308447352,58.59142659537365,45.07486497968719,45.26109883413409
camote_81,10.859369789793789,28.734996052028595,42.47089140031761,33.51437194627301,30.509993552332087,33.37762008512233,90.67532843488502,60.82881629180096
camote_85,37.30704130630496,30.008235544615683,41.832475559927225,52.283923179158094,44.30618347855979,42.96558158458005,43.73623549271124,64.4146868792277
camote_86,51.65912672619019,56.545739469350764,68.91919382739381,69.72141191851898,74.10367323117248,60.3195636807459,65.01753302131831,60.40998828143149
papa_80,31.61998950659182,25.719975998795007,20.781042095414538,14.129463931236836,8.87737343900492,21.536465993634454,23.396470177259214,28.225947323726643
papa_81,16.466567989040517,20.561214030119764,18.805749526268016,14.574665556405389,26.642769187840543,24.84650341156719,22.95924570851305,31.70168934881794
papa_85,40.821802427724435,32.60172658319966,27.602638537252556,34.09628975657749,45.186182157877425,64.17195659524059,46.440110799376,59.20854949643534
papa_86,52.40035076211326,64.06330076855718,63.99212320204013,45.48177522456108,41.19472050663436,49.00016585315981,49.704398309796204,38.815821848323424
zanahoria_80,105.21970699288923,33.824608557106245,38.051901928590226,35.55431690082675,46.35487633709709,29.442617954925147,29.110248554774987,37.118928485985435
zanahoria_82,28.041738290790608,34.31949323336975,46.95110745682871,56.607670405391914,27.835427061933135,34.680028834621254,57.14873377693612,95.85922501844759
zanahoria_83,57.45067412174701,45.99837649434664,60.697034289949244,60.38496598023702,45.37449601611899,35.2792436359924,66.51176922669751,78.37465015773046
zanahoria_85,67.70415411500989,43.20523113925411,50.41084398672769,43.11314749250851,39.47568126126159,36.3890704087943,46.68346857931826,59.713825716373805
zanahoria_86,124.3476153741278,61.16186301639399,41.088225349224,34.903906686588584,54.20760442432958,58.32501066072737,56.23749401477791,61.42016535568747
