,Segmento_1,Segmento_2,Segmento_3,Segmento_4,Segmento_5,Segmento_6,Segmento_7,Segmento_8
berenjena_60,0.08061648198566965,0.07490899771391132,0.0652584223655147,0.033806143648480495,0.030176391742908176,0.12684834638071585,0.07970215224600544,0.031021052589154084
berenjena_80,0.26586230013045764,0.18171302963834804,0.1661018005906572,0.0923053531841888,0.093232083442197,0.17336060765297032,0.12375972061855911,0.0771795481137587
berenjena_81,0.16332783637795006,0.17911493647308535,0.16722853173917376,0.12756103416318645,0.11083177013868392,0.2368247910680124,0.06308878757445617,0.056561200539884025
berenjena_85,0.13889148991425032,0.18066772974204529,0.16987911554014176,0.1659528677082414,0.04463487491005558,0.14668466252176038,0.09734215495568016,0.025180466546162007
berenjena_86,0.19395307336304224,0.21145147436073872,0.18452803622179212,0.12076132823278961,0.0672848792390174,0.15911262364050913,0.08739895829140182,0.06591028913108743
camote_80,0.12502272373276382,0.21747129174325858,0.08013440482506891,0.08194703240572497,0.16713333212949888,0.15226356177184674,0.04276590066739444,0.053288751072540386
camote_81,0.15606040760897202,0.19267241802506133,0.07340756898754859,0.14807803722363516,0.2124829437302929,0.060306581972775455,0.05099890560629953,0.03430025846819715
camote_85,0.08000197736681804,0.19582584473707418,0.06245339179498837,0.047853493758152905,0.14064927198729527,0.17180525332185237,0.07625641680901384,0.05799910077339569
camote_86,0.12650369196659367,0.1701789237699511,0.04665152505695011,0.08155643619901087,0.10387055343560289,0.05235037307463693,0.10356801373024095,0.07005885241638654
papa_80,0.19226699278152662,0.32671314496177517,0.22592663703226304,0.05059042708028023,0.13949689648214114,0.1279125218067621,0.08085807193305856,0.04735355433880598
papa_81,0.12019895469301277,0.2154535124677079,0.24317822365650685,0.19278436458083492,0.05267307001873018,0.03460818771653599,0.034825306837138734,0.036660276966820254
papa_85,0.09011543737569369,0.2137450288772798,0.27695335279719474,0.1944516283657799,0.04670083073458155,0.03720070269735584,0.0733716677835017,0.0367486968061677
papa_86,0.16447035861686593,0.17728997388367712,0.20201121282738876,0.1269827489639291,0.15464292011679612,0.2448289209078169,0.1733556265729798,0.05718521894440002
zanahoria_80,0.09825506813755303,0.13289185426747585,0.08081519871365794,0.1845186536554947,0.20236918942786797,0.25018878915993253,0.14590288024399184,0.16534987796983175
zanahoria_82,0.07407387460248017,0.16474255689472683,0.11304087665216336,0.14076459954743187,0.2105431240985104,0.2691364241092594,0.14557190026080288,0.09419669619808269
zanahoria_83,0.03780579701608674,0.09220787395590632,0.105910043326522,0.1786126579769595,0.20558833861119627,0.14152594099635865,0.047900419198988665,0.04685976404370971
zanahoria_85,0.06341757788242129,0.16036584883015095,0.08934393587069489,0.19169813517561887,0.21274057716268582,0.19113123058410245,0.09392746021975991,0.10914553620540596
zanahoria_86,0.09577741054301035,0.16806370734347498,0.1432323947503686,0.19232118512541085,0.24992018575339245,0.24598442325846856,0.12472048172614533,0.15485981328708492
