,Segmento_1,Segmento_2,Segmento_3,Segmento_4,Segmento_5,Segmento_6,Segmento_7,Segmento_8
berenjena_60,-564.8603999041549,-538.2737081560698,-554.6537566912193,-613.8888241108438,-563.8683307874985,-498.9549494389456,-567.618359583964,-615.9493823432495
berenjena_80,-445.22172983470153,-454.53888821052874,-498.48864986463735,-614.9421735322943,-539.3647969147925,-463.56747938327203,-555.8894491382549,-560.3840833771533
berenjena_81,-533.4561205146802,-477.547027840033,-489.0897500219944,-516.2562224500955,-507.6731777424461,-439.3945867813369,-572.9999600322553,-607.7534431561114
berenjena_85,-493.3061266807624,-444.2577053745476,-456.64072361429004,-460.9743329637339,-574.1068283871323,-498.9470700650618,-507.8711595533242,-637.865667947966
berenjena_86,-461.0510446236777,-450.73463219252034,-468.3325221106595,-482.7800799498278,-546.7304210285323,-470.2611939068576,-527.8528783618086,-574.5197677156616
camote_80,-494.5764000995051,-428.4877670710439,-561.223888734477,-541.7980036815528,-484.6571621620312,-486.3248398004353,-609.4219564645607,-615.1109713574891
camote_81,-504.1177529257436,-498.84492690870735,-582.8814757104961,-509.4598724652699,-485.67880191448876,-584.1513268024415,-609.6119292571047,-643.8884819025274
camote_85,-527.684625683066,-480.3632847896042,-571.8164352532641,-590.1974180257622,-495.2005582376067,-503.7186937200421,-519.9296390456049,-606.6201040308258
camote_86,-478.95060782725227,-452.9761481553671,-568.3389343123388,-522.8461627455836,-515.945900149522,-547.9717154983497,-507.4940923186284,-555.5157453203966
papa_80,-501.5082472196339,-424.01231891719357,-455.1167563021077,-560.3801483814567,-519.3407662037145,-499.51526578580183,-539.690147404859,-599.1244458021607
papa_81,-563.5754879631265,-479.12986092350184,-463.4528078909558,-473.3638972569017,-591.0951533277043,-627.027295447407,-603.6281914042851,-630.7203110764456
papa_85,-483.8010428429549,-411.36411426851055,-433.1553958890281,-465.8033654345689,-528.6338193562093,-567.9426368230744,-524.1405265906717,-565.3637456064233
papa_86,-488.2656950609589,-420.29368183544767,-413.2116956369878,-494.4503373069858,-495.826287505036,-436.15384629796426,-465.3687023981543,-575.6007010956477
zanahoria_80,-651.2923179121276,-497.08797277269224,-550.2525441920105,-469.2618457664998,-468.76229646056333,-482.9259620347097,-510.22950489058326,-522.2359880356136
zanahoria_82,-747.7070296548569,-476.14130725034596,-530.2621988345658,-495.33969740903035,-481.192436563567,-495.3575612188889,-530.4380098428194,-574.843802681845
zanahoria_83,-733.6539302898631,-533.6801332812155,-562.8454328973911,-478.5508547193989,-481.48025355131637,-526.2186113976848,-627.1294087508921,-651.0518555364768
zanahoria_85,-574.5557772370231,-474.34041775013776,-525.1572602231815,-456.8522805892304,-479.01146082502504,-494.4057161394064,-521.4670128249861,-565.7800475526836
zanahoria_86,-672.1034406400767,-462.3569551134669,-478.92621650543964,-458.65639475663517,-455.66274679529846,-457.7701685918443,-504.49999134270416,-489.22661370256
