,Segmento_1,Segmento_2,Segmento_3,Segmento_4,Segmento_5,Segmento_6,Segmento_7,Segmento_8
berenjena_60,106.12329312004627,86.31057033120572,72.30239504566569,21.499055991015684,12.784157958101924,300.97182114104544,124.01239392270898,20.09342137126068
berenjena_80,636.8443687303418,327.27774516479076,240.7467959872309,59.730442481760235,92.1715389601539,252.61200938359718,104.90420083598815,58.78611758010985
berenjena_81,217.24171088823184,276.4701971002527,238.65031191010684,130.00218385892396,151.60962351011545,450.7518300084498,31.514738580316187,27.152360213569914
berenjena_85,163.97419324315567,243.9112224712286,200.54016608321916,193.97236261703347,17.696518458343384,139.09249387053922,69.79290744067629,4.309642805742627
berenjena_86,389.7024940029562,501.5152505082099,355.6809568935698,148.89152686516294,51.391354807106595,253.5403683626409,78.74002517953582,50.700433283957985
camote_80,140.66529550185479,344.2892681454513,34.08322457733101,36.35202540111382,158.30215769834473,144.46228544317785,11.31831310934307,16.065197934086495
camote_81,226.98843447540452,299.0597434825273,37.37563057953328,160.58147125166138,321.18714229674674,32.178363765615465,17.31557013070005,8.085638346898433
camote_85,49.586875744609586,230.24608968200374,23.817759391527083,14.35325305931184,119.86819555230431,152.9133056688064,52.75165226884228,17.605835526515808
camote_86,122.43220506434712,217.469380673808,14.53554562734909,51.843365167254646,75.51319375707776,25.790057068178662,68.40629053791918,42.56453894912169
papa_80,190.94450555354985,448.2767353156531,244.14817916762584,15.10200558062811,86.44080759153135,79.04733607736048,33.65984895412949,13.073261208527871
papa_81,81.78810281649449,208.41554152892076,251.15336889115048,160.16776734731937,10.047942862638223,4.175916313562681,5.231443857865042,5.398284789125986
papa_85,41.30500783970915,158.49451716653556,275.2626190076677,128.35865972362544,11.06875250458172,4.9388311278571235,22.57919306017486,5.170206346343996
papa_86,165.22258530515674,166.46793907832335,228.50388717665416,103.50061989905234,139.41496226938511,303.25399358555853,164.70655261489097,17.900568758640834
zanahoria_80,145.18732186443808,241.31107647675822,88.73983098564327,415.1978184599629,570.4830677200623,766.6894598491444,318.1102332832537,387.0153362962146
zanahoria_82,66.85647469479795,458.03602075452426,153.63531862287635,259.7198494479977,601.6389586217656,821.3839739407915,247.57332996496933,112.5579080898961
zanahoria_83,14.667339694888405,93.8251579773308,164.76490043021374,365.8385154737191,436.70865846129857,214.90307220871688,22.734512617740336,23.61281425584208
zanahoria_85,67.65278655584183,261.77861995960495,96.59335040170372,363.29120050468,388.8897150477212,303.30192941745645,112.28860461090244,103.92787547976872
zanahoria_86,118.93052088524584,430.1256676181828,320.71370721781994,504.02037546688325,778.7588109196853,758.5762789702806,224.44415815518954,365.50347940971665
