,Segmento_1,Segmento_2,Segmento_3,Segmento_4,Segmento_5,Segmento_6,Segmento_7,Segmento_8
berenjena_60,0.3037109375,0.296875,0.470703125,0.4140625,1.2001953125,0.5224609375,0.341796875,0.42431640625
berenjena_80,0.18798828125,0.2822265625,0.24072265625,0.1171875,0.3505859375,0.32373046875,0.103515625,0.28564453125
berenjena_81,0.12548828125,0.23974609375,0.25927734375,0.20361328125,0.29150390625,0.35546875,0.18212890625,0.42041015625
berenjena_85,0.21533203125,0.28466796875,0.22509765625,0.28125,0.3076171875,0.27587890625,0.244140625,0.23681640625
berenjena_86,0.42431640625,0.39111328125,0.36328125,0.3037109375,0.4248046875,0.384765625,0.28076171875,0.19091796875
camote_80,0.26171875,0.21435546875,0.13427734375,0.1015625,0.15869140625,0.236328125,0.1298828125,0.10595703125
camote_81,0.17578125,0.2197265625,0.3203125,0.2685546875,0.21484375,0.1640625,0.23193359375,0.16162109375
camote_85,0.19091796875,0.12744140625,0.142578125,0.1728515625,0.12744140625,0.10107421875,0.16162109375,0.09521484375
camote_86,0.22216796875,0.26708984375,0.3623046875,0.33984375,0.36083984375,0.3779296875,0.21484375,0.22119140625
papa_80,0.11474609375,0.1220703125,0.119140625,0.1083984375,0.1103515625,0.1318359375,0.1455078125,0.162109375
papa_81,0.0693359375,0.10986328125,0.13134765625,0.0947265625,0.08447265625,0.0791015625,0.09521484375,0.08447265625
papa_85,0.1494140625,0.0869140625,0.078125,0.0830078125,0.14990234375,0.17724609375,0.13330078125,0.20849609375
papa_86,0.1953125,0.2744140625,0.2509765625,0.09912109375,0.1201171875,0.109375,0.12548828125,0.09716796875
zanahoria_80,1.53662109375,0.42431640625,0.27099609375,0.43310546875,0.49462890625,0.33740234375,0.2529296875,0.20361328125
zanahoria_82,2.20263671875,0.90185546875,0.26806640625,0.52392578125,0.32568359375,0.26806640625,0.16748046875,0.30419921875
zanahoria_83,1.5947265625,0.43603515625,0.64111328125,0.6064453125,0.3427734375,0.29638671875,0.37255859375,0.37451171875
zanahoria_85,0.72216796875,0.30712890625,0.32470703125,0.35009765625,0.2294921875,0.16357421875,0.26318359375,0.1044921875
zanahoria_86,1.81005859375,0.81298828125,0.33642578125,0.2666015625,0.37548828125,0.328125,0.37451171875,0.3916015625
